feature,shap_mean,shap_ratio,decision
lag_7,1.3401884153553159,1.0,KEEP
rolling_mean_7d,0.3421836019073785,0.2553249960877012,KEEP
lag_14,0.31220733429748015,0.23295779214350734,KEEP
onpromotion,0.26804445167557983,0.2000050504872592,KEEP
venta_media_historica,0.15755605228516426,0.11756261319673651,KEEP
rolling_max_28d,0.10075026013624448,0.07517619088621445,KEEP
trans_lag_7,0.06859294936152717,0.05118157161755614,KEEP
rolling_max_7d,0.05662919498716934,0.04225465191187733,KEEP
lag_21,0.03892613168674224,0.029045267994218558,KEEP
cv_ventas,0.036860423492734766,0.02750391144290125,KEEP
lag_364,0.0353068867851402,0.026344718683290143,KEEP
dia_semana,0.03346477417107695,0.024970201046100402,KEEP
dias_para_fin_de_mes,0.032066492499224435,0.023926853964576947,KEEP
ranking_tienda,0.0299797748072832,0.022369820887710664,KEEP
lag_28,0.029617327384383045,0.022099375763168932,KEEP
rolling_max_14d,0.02323143390025717,0.017334453599270938,KEEP
venta_std_historica,0.021692776363649347,0.016186363137527998,KEEP
rolling_mean_28d,0.01793894281983589,0.013385388661996343,KEEP
rolling_std_7d,0.01559245236703391,0.011634522570395432,KEEP
dias_para_siguiente_festivo,0.014485566796538986,0.010808604693615798,KEEP
semana_del_año,0.012293533267455567,0.009172988757850335,KEEP
rolling_std_14d,0.010770840513493328,0.008036810638030864,KEEP
promo_lag_7,0.010064968320097468,0.007510114402405878,KEEP
oil_lag_364,0.008628513741574776,0.006438284082083453,KEEP
trimestre,0.00854449059095916,0.006375589053792718,KEEP
trans_rolling_mean_7,0.007052228383681138,0.005262117104490434,KEEP
rolling_mean_14d,0.0069214337383131175,0.005164522882760541,KEEP
semana_del_mes,0.006596518388157544,0.004922082829979284,KEEP
holiday_impact_type,0.006122567305054184,0.0045684377173421135,KEEP
type,0.006074531244618794,0.004532594950843753,KEEP
family,0.005705529311952102,0.004257259088782252,KEEP
store_nbr,0.005274637268500933,0.003935743070202932,KEEP
rolling_promo_mean_14,0.003953477630995238,0.0029499416542464866,KEEP
transferred,0.0030539274004894113,0.002278729890139919,KEEP
cluster,0.0029963357673979175,0.0022357571018128204,KEEP
holiday_type,0.00291270450073452,0.00217335448311743,KEEP
es_inicio_mes,0.002889846162893381,0.0021562984202689243,KEEP
dias_desde_ultimo_festivo,0.0026980004485359825,0.002013150104584868,KEEP
oil_rolling_mean_7,0.002370340576145553,0.0017686621888289636,KEEP
day_cos,0.00230402017133533,0.0017191763075526058,KEEP
oil_rolling_mean_28,0.00228784118615364,0.0017071041354637278,KEEP
oil_lag_28,0.002103424409625988,0.001569499023813245,KEEP
rolling_std_28d,0.002010623277764683,0.0015002541842085828,KEEP
city,0.0017061991048335408,0.0012731039048574277,KEEP
oil_lag_7,0.0016210776496320377,0.0012095893615094795,KEEP
day_sin,0.0015148275788927396,0.0011303094113756555,DROP_CANDIDATE
oil_rolling_mean_14,0.001003484593293419,0.000748763816934928,DROP_CANDIDATE
es_quincena,0.000993289749663523,0.0007411567942856588,DROP_CANDIDATE
oil_lag_14,0.0008389537370311713,0.0006259968579184776,DROP_CANDIDATE
state,0.0008136143519005446,0.0006070895275458981,DROP_CANDIDATE
oil_lag_21,0.0007044315847807638,0.0005256213057131987,DROP_CANDIDATE
holiday_locale,0.0003466049111437585,0.0002586240167222049,DROP_CANDIDATE
es_viernes,9.181642004882278e-05,6.851008335606308e-05,DROP_CANDIDATE
pico_quincena_findex,6.652851333248944e-05,4.9641164309610264e-05,DROP_CANDIDATE
es_festivo,1.2104259602767412e-05,9.031759612366359e-06,DROP_CANDIDATE
es_fin_de_semana,0.0,0.0,DROP_CANDIDATE
tiene_promo,0.0,0.0,DROP_CANDIDATE
